Date,Price
2024-07-21 22:29:18,
2024-07-21 22:30:22,
2024-07-21 22:30:27,$79.99$79.99
2024-07-21 22:30:44,
2024-07-21 22:30:47,
2024-07-21 22:30:50,
2024-07-21 22:30:52,
2024-07-21 22:30:53,
2024-07-21 22:30:55,
2024-07-21 22:30:58,
2024-07-21 22:31:00,
2024-07-21 22:31:05,
2024-07-21 22:31:09,$79.99$79.99
2024-07-21 22:31:34,
2024-07-21 22:31:38,$79.99$79.99
2024-07-21 22:34:58,79..99
2024-07-21 22:35:34,79.99
2024-07-22 20:58:25,79.99
2024-07-22 21:03:51,79..99$
2024-07-22 21:07:55,79..99$
2024-07-22 21:08:18,79.99$
2024-07-22 21:08:26,79.99
